"nb","nn"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Kort om testen"
"Spørsmål","Spørsmål"
"Resultat","Resultat"
"Om testen","Om testen"
"Skift språk","Skift språk"
"Beregn resultat","Rekn ut resultat"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Dra i kvar glidebrytar for å velje kor godt utsegnet har stemt for deg over tid."
"Tolkning","Tolkning"
"Gjennomsnittsskår","Gjennomsnittsskår"
"Hva betyr skåren?","Kva tyder skåren?"
"Forbehold","Atterhald"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Ei klinisk vurdering inneber utviklingshistorie, funksjon og fagleg skjøn."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Folk kan ha sterke rutinar eller tydeleg sansefølsamheit utan at det handlar om autisme."
"Stemmer ikke","Stemmer ikkje"
"Litt","Litt"
"Delvis","Delvis"
"Ganske","Ganske"
"Stemmer helt","Stemmer heilt"
"Du må svare på alle utsagn før resultatet kan beregnes.","Du må svare på alle utsegna før resultatet kan reknast ut."
"Sendt","Sendt"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Eg treng sjeldan å gjette kva folk eigentleg meiner når dei snakkar indirekte."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Brå endringar i planar gjer meg sjeldan veldig uroleg."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Høge lydar, sterke lys eller andre sanseinntrykk overveldar meg sjeldan."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Eg klarer som regel sosiale reglar og forventningar utan å måtte tenkje mykje over dei."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Eg treng sjeldan å førebu eller øve på det eg skal seie i sosiale situasjonar."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Eg oppfattar som regel ironi, humor og indirekte bodskapar utan stor innsats."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Sosialt samvær tømmer meg sjeldan så mykje at eg treng lang tid åleine etterpå."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Eg treng sjeldan faste rutinar for å kjenne meg trygg i kvardagen."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Eg blir sjeldan så oppteken av spesialinteresser at det går ut over andre ting eg må gjere."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Eg opplever vanlegvis blikkkontakt, kroppsspråk og små sosiale signal som ganske naturlege å handtere."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Eg kjenner sjeldan behov for å maskere eller spele ei rolle for å passe inn sosialt."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Små endringar i rekkjefølgje eller rutinar gjer meg sjeldan tydeleg uroleg."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Eg må sjeldan trekkje meg unna fordi sanseinntrykk blir for sterke."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Svara dine viser få trekk som liknar dei autismerelevante friksjonane ein ofte ser ved autisme."
"Hverdagen virker stabil og forutsigbar.","Kvardagen verkar stabil og føreseieleg."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Mønsteret ditt ligg godt innanfor normal variasjon: nokre styrkar, litt friksjon, men ingenting som peikar klart i éi retning."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Du rapporterer ein del trekk som kan minne om autisme, men dette kan like gjerne handle om personlegdom, erfaringar, stress eller livssituasjon."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Du skildrar fleire område som ofte skaper vanskar ved autisme. Dette er framleis ikkje diagnostikk, men det kan vere verdt ei meir formell vurdering dersom dette skaper problem i kvardagen."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Dette er ei enkel refleksjonsside, ikkje ein diagnostisk test."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Ho spør om trekk som ofte blir nemnde i samband med autisme, særleg sosial tolking, sansing, rutinar og masking."
"Den kan ikke bekrefte eller avkrefte autisme.","Ho kan ikkje slå fast eller avkrefte autisme."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Ho er laga for å vise korleis eit mønster med lite sosial, sensorisk og rutinemessig friksjon kan sjå ut."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Om du er usikker, eller dersom dette påverkar kvardagen, bør du snakke med fagfolk."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Skåren er eit enkelt gjennomsnitt av dei tretten hovudutsegna."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Høgare skår betyr at svara dine liknar mindre på eit mønster med sosial, sensorisk og rutinemessig friksjon som ofte blir skildra ved autisme."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Lågare skår betyr at svara dine liknar meir på eit slikt mønster."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","Dette er ikkje ein diagnose, og det finst ikkje nokon fast norm for denne sida enno. Bruk skåren som eit utgangspunkt for refleksjon, ikkje som eit fasitsvar."
