"nb","da"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Kort om testen"
"Spørsmål","Spørgsmål"
"Resultat","Resultat"
"Om testen","Om testen"
"Skift språk","Skift sprog"
"Beregn resultat","Beregn resultat"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Træk i hver skyder for at vælge, hvor godt udsagnet har passet på dig over tid"
"Tolkning","Tolkning"
"Gjennomsnittsskår","Gennemsnitsscore"
"Hva betyr skåren?","Hvad betyder scoren?"
"Forbehold","Forbehold"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","En klinisk vurdering indebærer udviklingshistorie, funktion og fagligt skøn"
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Mennesker kan have stærke rutiner eller tydelig sansefølsomhed uden at det handler om autisme."
"Stemmer ikke","Stemmer ikke"
"Litt","Lidt"
"Delvis","Delvist"
"Ganske","Ret godt"
"Stemmer helt","Stemmer helt"
"Du må svare på alle utsagn før resultatet kan beregnes.","Du skal svare på alle udsagn, før resultatet kan beregnes."
"Sendt","Sendt"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Jeg behøver sjældent at gætte, hvad folk egentlig mener, når de taler indirekte."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Jeg bliver sjældent meget urolig over pludselige ændringer i planer."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Høje lyde, stærkt lys eller andre sanseindtryk overvælder mig sjældent."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Jeg klarer som regel sociale regler og forventninger uden at skulle tænke meget over dem."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Jeg har sjældent brug for at forberede eller øve det, jeg skal sige i sociale situationer."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Jeg opfatter som regel ironi, humor og indirekte beskeder uden stor indsats."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Socialt samvær dræner mig sjældent så meget, at jeg har brug for lang tid alene bagefter."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Jeg har sjældent brug for faste rutiner for at føle mig tryg i hverdagen."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Jeg bliver sjældent så optaget af særinteresser, at det går ud over andre ting, jeg skal gøre."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Jeg oplever som regel øjenkontakt, kropssprog og små sociale signaler som ret naturlige at håndtere."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Jeg føler sjældent behov for at maskere eller spille en rolle for at passe ind socialt."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Små ændringer i rækkefølge eller rutiner gør mig sjældent tydeligt urolig."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Jeg har sjældent brug for at trække mig, fordi sanseindtryk bliver for stærke."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Dine svar viser få træk, der ligner de autismerelevante friktioner, man ofte ser ved autisme."
"Hverdagen virker stabil og forutsigbar.","Hverdagen virker stabil og forudsigelig."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Dit mønster ligger godt inden for normal variation: nogle styrker, lidt friktion, men intet, der peger klart i én retning."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Du rapporterer en del træk, som kan minde om autisme, men det kan lige så vel handle om personlighed, erfaringer, stress eller livssituation."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Du beskriver flere områder, som ofte skaber vanskeligheder ved autisme. Det er stadig ikke diagnostik, men det kan være værd at få en mere formel vurdering, hvis det skaber problemer i hverdagen."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Dette er en enkel refleksionsside, ikke en diagnostisk test."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Den spørger om træk, som ofte nævnes i forbindelse med autisme, især social fortolkning, sanser, rutiner og maskering."
"Den kan ikke bekrefte eller avkrefte autisme.","Den kan ikke bekræfte eller afkræfte autisme."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Den er lavet for at vise, hvordan et mønster med lidt social, sensorisk og rutinemæssig friktion kan se ud."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Hvis du er i tvivl, eller hvis dette påvirker hverdagen, bør du tale med fagfolk."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Scoren er et enkelt gennemsnit af de tretten hovedudsagn."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","En højere score betyder, at dine svar ligner mindre et mønster med social, sensorisk og rutinemæssig friktion, som ofte beskrives ved autisme."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","En lavere score betyder, at dine svar ligner mere et sådant mønster."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","Dette er ikke en diagnose, og der findes endnu ingen fast norm for denne side. Brug scoren som et udgangspunkt for refleksion, ikke som et facit."
