"nb","sv"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Kort om testet"
"Spørsmål","Frågor"
"Resultat","Resultat"
"Om testen","Om testet"
"Skift språk","Byt språk"
"Beregn resultat","Beräkna resultat"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Dra i varje reglage för att ange hur väl påståendet har stämt för dig över tid"
"Tolkning","Tolkning"
"Gjennomsnittsskår","Genomsnittspoäng"
"Hva betyr skåren?","Vad betyder poängen?"
"Forbehold","Förbehåll"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","En klinisk bedömning innefattar utvecklingshistoria, funktion och professionellt omdöme"
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Människor kan ha starka rutiner eller tydlig sensorisk känslighet utan att det handlar om autism."
"Stemmer ikke","Stämmer inte alls"
"Litt","Lite grann"
"Delvis","Delvis"
"Ganske","Ganska"
"Stemmer helt","Stämmer helt"
"Du må svare på alle utsagn før resultatet kan beregnes.","Du måste svara på alla påståenden innan resultatet kan beräknas."
"Sendt","Skickat"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Jag behöver sällan gissa vad folk egentligen menar när de talar indirekt."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Jag blir sällan särskilt upprörd av plötsliga ändringar i planer."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Höga ljud, starkt ljus eller andra sinnesintryck överväldigar mig sällan."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Jag hanterar vanligtvis sociala regler och förväntningar utan att behöva tänka mycket på dem."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Jag behöver sällan förbereda eller öva på det jag ska säga i sociala situationer."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Jag uppfattar vanligtvis ironi, humor och indirekta budskap utan större ansträngning."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Socialt umgänge tömmer mig sällan så mycket att jag behöver lång tid för mig själv efteråt."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Jag behöver sällan fasta rutiner för att känna mig trygg i vardagen."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Jag blir sällan så uppslukad av specialintressen att det går ut över andra saker jag måste göra."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Jag upplever vanligtvis ögonkontakt, kroppsspråk och små sociala signaler som ganska naturliga att hantera."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Jag känner sällan behov av att maskera mig eller spela en roll för att passa in socialt."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Små förändringar i ordning eller rutiner gör mig sällan tydligt orolig."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Jag behöver sällan dra mig undan eftersom sinnesintrycken blir för starka."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Dina svar visar få drag som liknar de autismrelevanta friktioner man ofta ser vid autism."
"Hverdagen virker stabil og forutsigbar.","Vardagen verkar stabil och förutsägbar."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Ditt mönster ligger väl inom normal variation: några styrkor, lite friktion, men inget som pekar tydligt i en riktning."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Du rapporterar flera drag som kan påminna om autism, men det kan lika gärna handla om personlighet, erfarenheter, stress eller livssituation."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Du beskriver flera områden som ofta skapar svårigheter vid autism. Det är fortfarande inte en diagnos, men det kan vara värt en mer formell bedömning om det här skapar problem i vardagen."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Det här är en enkel reflektionssida, inte ett diagnostiskt test."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Den frågar om drag som ofta nämns i samband med autism, särskilt social tolkning, sinnen, rutiner och maskering."
"Den kan ikke bekrefte eller avkrefte autisme.","Den kan inte bekräfta eller utesluta autism."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Den är gjord för att visa hur ett mönster med lite social, sensorisk och rutinmässig friktion kan se ut."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Om du är osäker, eller om det här påverkar vardagen, bör du prata med professionella."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Poängen är ett enkelt genomsnitt av de tretton huvudpåståendena."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Högre poäng betyder att dina svar liknar mindre ett mönster med social, sensorisk och rutinmässig friktion som ofta beskrivs vid autism."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Lägre poäng betyder att dina svar liknar mer ett sådant mönster."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","Detta är ingen diagnos, och det finns ännu ingen fast norm för den här sidan. Använd poängen som en utgångspunkt för reflektion, inte som ett facit."
