"nb","de"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Kurzinformation zum Test"
"Spørsmål","Fragen"
"Resultat","Ergebnis"
"Om testen","Über den Test"
"Skift språk","Sprache wechseln"
"Beregn resultat","Ergebnis berechnen"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Bewege jeden Schieberegler, um auszuwählen, wie gut die Aussage über längere Zeit auf dich zutrifft."
"Tolkning","Interpretation"
"Gjennomsnittsskår","Durchschnittswert"
"Hva betyr skåren?","Was bedeutet der Wert?"
"Forbehold","Vorbehalte"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Eine klinische Beurteilung umfasst Entwicklungsgeschichte, Funktion und fachliche Einschätzung."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Menschen können starke Routinen oder eine deutliche sensorische Empfindlichkeit haben, ohne dass es um Autismus geht."
"Stemmer ikke","Trifft nicht zu"
"Litt","Wenig"
"Delvis","Teilweise"
"Ganske","Ziemlich"
"Stemmer helt","Trifft völlig zu"
"Du må svare på alle utsagn før resultatet kan beregnes.","Du musst alle Aussagen beantworten, bevor das Ergebnis berechnet werden kann."
"Sendt","Gesendet"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Ich muss selten erraten, was Leute eigentlich meinen, wenn sie indirekt sprechen."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Plötzliche Änderungen in Plänen machen mich selten sehr unruhig."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Laute Geräusche, helles Licht oder andere Sinneseindrücke überfordern mich selten."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Ich komme mit sozialen Regeln und Erwartungen meist zurecht, ohne viel darüber nachdenken zu müssen."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Ich muss mich in sozialen Situationen selten darauf vorbereiten oder üben, was ich sagen will."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Ironie, Humor und indirekte Botschaften verstehe ich meist ohne große Mühe."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Sozialer Kontakt zehrt mich selten so sehr aus, dass ich danach lange allein sein muss."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Ich brauche nur selten feste Routinen, um mich im Alltag sicher zu fühlen."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Ich bin nur selten so sehr mit Spezialinteressen beschäftigt, dass es andere Dinge, die ich erledigen muss, beeinträchtigt."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Blickkontakt, Körpersprache und kleine soziale Signale empfinde ich meist als recht natürlich zu handhaben."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Ich habe nur selten das Bedürfnis, mich zu maskieren oder eine Rolle zu spielen, um sozial dazuzugehören."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Kleine Änderungen in Reihenfolge oder Routinen machen mich nur selten deutlich unruhig."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Ich muss mich nur selten zurückziehen, weil Sinneseindrücke zu stark werden."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Deine Antworten zeigen wenige Merkmale, die an die autismusrelevanten Friktionen erinnern, die man oft bei Autismus sieht."
"Hverdagen virker stabil og forutsigbar.","Der Alltag wirkt stabil und vorhersehbar."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Dein Muster liegt gut innerhalb der normalen Variation: einige Stärken, etwas Friktion, aber nichts, das klar in eine Richtung weist."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Du berichtest über mehrere Merkmale, die an Autismus erinnern können, aber das kann genauso gut mit Persönlichkeit, Erfahrungen, Stress oder der Lebenssituation zusammenhängen."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Du beschreibst mehrere Bereiche, die bei Autismus oft Schwierigkeiten machen. Das ist noch keine Diagnose, aber eine genauere Abklärung kann sinnvoll sein, wenn das im Alltag Probleme macht."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Dies ist eine einfache Reflexionsseite, kein diagnostischer Test."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Sie fragt nach Merkmalen, die oft mit Autismus in Verbindung gebracht werden, besonders sozialer Interpretation, Sinneswahrnehmung, Routinen und Maskierung."
"Den kan ikke bekrefte eller avkrefte autisme.","Sie kann Autismus weder bestätigen noch ausschließen."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Sie ist dazu da zu zeigen, wie ein Muster mit wenig sozialer, sensorischer und routinemäßiger Friktion aussehen kann."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Wenn du unsicher bist oder wenn dich das im Alltag beeinträchtigt, solltest du mit Fachleuten sprechen."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Der Wert ist ein einfacher Durchschnitt der dreizehn Hauptaussagen."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Ein höherer Wert bedeutet, dass deine Antworten weniger wie ein Muster mit sozialer, sensorischer und routinemäßiger Friktion aussehen, wie es oft bei Autismus beschrieben wird."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Ein niedrigerer Wert bedeutet, dass deine Antworten eher wie ein solches Muster aussehen."
