"nb","pl"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Krótko o teście"
"Spørsmål","Pytania"
"Resultat","Wynik"
"Om testen","O teście"
"Skift språk","Zmień język"
"Beregn resultat","Oblicz wynik"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Przesuń każdy suwak, aby określić, jak dobrze stwierdzenie pasowało do Ciebie na przestrzeni czasu."
"Tolkning","Interpretacja"
"Gjennomsnittsskår","Średni wynik"
"Hva betyr skåren?","Co oznacza wynik?"
"Forbehold","Zastrzeżenia"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Ocena kliniczna obejmuje historię rozwoju, codzienne funkcjonowanie i osąd specjalisty."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Ludzie mogą mieć silne rutyny albo wyraźną wrażliwość sensoryczną, bez związku z autyzmem."
"Stemmer ikke","Nie pasuje"
"Litt","Trochę"
"Delvis","Częściowo"
"Ganske","W dużej mierze"
"Stemmer helt","Pasuje całkowicie"
"Du må svare på alle utsagn før resultatet kan beregnes.","Musisz odpowiedzieć na wszystkie stwierdzenia, zanim wynik będzie mógł zostać obliczony."
"Sendt","Wysłano"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Rzadko muszę zgadywać, co ludzie naprawdę mają na myśli, gdy mówią pośrednio."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Rzadko bardzo niepokoją mnie nagłe zmiany planów."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Głośne dźwięki, jasne światła lub inne bodźce zmysłowe rzadko mnie przytłaczają."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Zwykle radzę sobie z zasadami społecznymi i oczekiwaniami bez większego zastanawiania się nad nimi."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Rzadko muszę przygotowywać się lub ćwiczyć to, co mam powiedzieć w sytuacjach społecznych."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Zwykle bez większego wysiłku rozumiem ironię, humor i pośrednie komunikaty."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Kontakt towarzyski rzadko wyczerpuje mnie na tyle, że potrzebuję potem długiego czasu w samotności."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Rzadko potrzebuję sztywnych rutyn, żeby czuć się bezpiecznie na co dzień."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Rzadko tak bardzo pochłaniają mnie szczególne zainteresowania, że przeszkadza to w innych rzeczach, które muszę zrobić."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Zwykle kontakt wzrokowy, mowa ciała i drobne sygnały społeczne są dla mnie dość naturalne do ogarnięcia."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Rzadko czuję potrzebę maskowania się lub odgrywania roli, żeby społecznie pasować do otoczenia."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Drobne zmiany kolejności lub rutyny rzadko wyraźnie mnie niepokoją."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Rzadko muszę się wycofać, bo bodźce zmysłowe stają się zbyt silne."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Twoje odpowiedzi pokazują niewiele cech podobnych do trudności związanych z autyzmem, które często się przy nim obserwuje."
"Hverdagen virker stabil og forutsigbar.","Codzienne życie wydaje się stabilne i przewidywalne."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Twój profil mieści się dobrze w normalnej zmienności: trochę mocnych stron, trochę tarcia, ale nic, co wyraźnie wskazywałoby w jedną stronę."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Wskazujesz kilka cech, które mogą przypominać autyzm, ale równie dobrze mogą wynikać z osobowości, doświadczeń, stresu albo sytuacji życiowej."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Opisujesz kilka obszarów, które często sprawiają trudność przy autyzmie. To nadal nie jest diagnoza, ale może warto zrobić bardziej formalną ocenę, jeśli powoduje to problemy na co dzień."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","To prosta strona do refleksji, nie test diagnostyczny."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Pyta o cechy często wymieniane w związku z autyzmem, zwłaszcza o interpretację społeczną, bodźce zmysłowe, rutyny i maskowanie."
"Den kan ikke bekrefte eller avkrefte autisme.","Nie może potwierdzić ani wykluczyć autyzmu."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Ma pokazać, jak może wyglądać wzorzec z małą ilością tarcia społecznego, sensorycznego i związanego z rutyną."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Jeśli masz wątpliwości albo jeśli wpływa to na codzienne życie, porozmawiaj ze specjalistami."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Wynik to prosta średnia trzynastu głównych stwierdzeń."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Wyższy wynik oznacza, że twoje odpowiedzi mniej przypominają wzorzec z tarciem społecznym, sensorycznym i rutynowym, często opisywany przy autyzmie."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Niższy wynik oznacza, że twoje odpowiedzi bardziej przypominają taki wzorzec."
"Dette er ikke en diagnose, og det finnes ingen fast norm for denne siden ennå. Bruk skåren som et utgangspunkt for refleksjon, ikke som et fasitsvar.","To nie jest diagnoza i nie ma jeszcze ustalonej normy dla tej strony. Traktuj wynik jako punkt wyjścia do refleksji, a nie jako ostateczną odpowiedź."
